DISTANCE,DELIVERY_HOUR,DELIVERY_WINDOW_DURATION,SHIPMENT_DURATION,DELAYED,CARRIER_ID_CONDENSED,IS_VAN
264.1145031311523,2,0.5,7.5,0,7,0
198.28262164838597,2,0.5,7.0,0,48,0
181.49137940894244,13,1.0,5.0,0,44,1
145.4757115815509,20,0.7502777777777778,6.000277777777778,0,24,0
246.55447740987196,14,4.116666666666666,11.033333333333333,1,49,0
197.8173467432695,20,1.0,9.0,1,4,0
113.79814434622811,18,0.5,7.416666666666667,0,11,0
185.14206514552544,16,0.5,7.0,0,41,0
157.26966363697647,8,1.0,4.75,0,44,1
120.89395646821744,10,0.5,18.416666666666668,1,32,0
310.23965044848615,10,0.5,17.416666666666668,0,7,0
104.877166788235,9,0.5,4.416666666666667,1,0,0
130.05367572600213,3,0.5,26.5,0,40,1
93.00977757371561,20,1.0,3.5,0,44,1
148.73995052216034,10,0.5,24.416666666666668,0,8,0
216.5366528298141,10,0.5,19.416666666666668,0,36,0
284.5155051272543,8,0.5,8.5,0,7,0
100.95696332817134,17,1.0,4.0,0,18,0
69.39652788823402,10,0.5,3.5,1,18,0
274.44200518653423,12,0.5,69.41666666666667,0,7,0
238.36146435885018,7,2.933611111111111,15.600277777777778,1,29,0
136.57248214408634,12,0.5,4.003611111111111,0,32,0
77.31633312425309,7,0.75,16.25,0,1,0
48.29599309849183,14,0.5,5.0,1,2,0
186.73775863113764,11,0.5,19.0,1,12,0
426.10081027597,23,0.9833333333333333,7.983333333333333,1,7,0
393.64472436900974,11,0.5,25.0,0,14,0
389.86238501198045,15,7.983333333333333,33.983333333333334,0,35,0
198.28262164838597,13,0.5,6.966666666666667,1,39,0
112.30199308530564,9,0.4666666666666667,27.0,1,0,0
240.2071674924992,13,0.5,20.416666666666668,0,4,0
66.29539612693945,18,1.0,4.5,1,18,0
100.80755644049977,6,1.3666666666666667,17.283333333333335,1,32,0
184.08009613113876,22,1.0,4.666666666666667,1,44,1
130.05367572600213,3,0.5,26.5,0,40,1
139.63437715855733,11,0.5,26.416666666666668,1,33,0
208.81702658232658,11,1.3666666666666667,5.802777777777778,0,30,0
334.5262801034835,11,0.4666666666666667,29.983333333333334,0,50,0
277.488575954304,14,0.5,10.916666666666666,0,7,0
130.05367572600213,3,0.5,26.5,0,40,1
130.05367572600213,3,0.5,26.5,0,40,1
216.37774152214664,11,0.5,5.0,1,1,0
165.26294436600335,20,1.0,5.25,0,44,1
223.41894418414978,17,0.5,8.416666666666666,0,33,0
544.8593570660368,8,0.5,21.5,0,7,0
264.49408135972016,10,1.0,8.0,0,7,0
28.32846629041557,12,1.0,18.0,0,15,0
130.05367572600213,3,0.5,2.5,0,40,1
198.28262164838597,2,0.5,7.0,1,48,0
223.41894418414978,2,0.5,15.416666666666666,1,50,0
161.03244257507345,9,1.0,4.5,0,44,1
330.5131037715953,7,0.5,19.0,1,35,0
382.1233778887302,11,0.5,83.91666666666667,0,14,0
48.359839961534625,10,0.5,3.5,0,43,0
239.0614815388893,13,2.9166666666666665,9.433333333333334,1,36,0
549.4868394915134,9,0.5,22.5,0,7,0
363.24389873109584,8,0.5,18.0,0,37,0
198.28262164838597,1,0.5,7.0,1,48,0
263.4463272997275,14,0.5,8.0,0,7,0
130.05367572600213,3,0.5,26.5,0,40,1
30.02169512844316,5,0.5,2.25,0,40,1
198.28262164838597,3,0.5,7.0,1,48,0
238.36146435885018,10,2.9169444444444443,9.43361111111111,0,49,0
134.35574474956988,18,0.5,4.5,0,18,0
348.2547804231974,11,0.5,22.416666666666668,0,35,0
130.05367572600213,3,0.5,26.5,0,40,1
198.28262164838597,9,0.5,6.966666666666667,0,48,0
340.5334866905385,13,0.5,7.416666666666667,1,35,0
215.3517636915956,14,0.5,51.416666666666664,0,14,0
258.8503319593972,15,7.983333333333333,9.983333333333333,0,0,0
145.64196330890005,19,0.7502777777777778,5.050277777777778,1,22,0
34.358870873562914,8,0.0,24.0,0,5,0
337.83639751123627,10,0.5,25.416666666666668,1,7,0
102.8605055626627,12,0.5,3.0,1,10,0
131.50148084423364,14,0.5,5.0,0,36,0
319.3701621058573,12,0.5,93.41666666666667,0,14,0
49.216424766930544,21,1.0,3.0,0,46,1
355.7217946673087,7,0.5,49.416666666666664,0,14,0
337.16889331291173,8,0.5,21.416666666666668,0,7,0
84.04183987170703,11,0.5,4.0,0,18,0
265.3790696179686,10,2.933611111111111,10.216944444444444,1,49,0
208.6114107015427,6,0.5,17.916666666666668,0,36,0
172.306761933901,11,0.5,21.0,1,25,0
246.27563075064597,13,4.116944444444444,11.033611111111112,0,28,0
32.05374186326963,9,1.0,3.5,0,45,1
212.78595833158425,17,0.5,4.5,1,41,0
94.52788851022619,3,0.5,3.0,0,40,1
30.02169512844316,5,0.5,2.25,0,40,1
549.4868394915134,8,0.5,21.5,0,7,0
66.29620756879541,18,1.0,4.5,1,18,0
30.02169512844316,5,0.5,2.25,0,40,1
30.02169512844316,5,0.5,2.25,0,40,1
221.47043656206975,16,1.7502777777777778,7.183611111111111,1,23,0
111.71162601349934,17,0.25,5.75,1,22,0
30.02169512844316,5,0.5,2.25,0,40,1
263.4463272997275,11,0.5,8.0,1,7,0
353.28897060923185,9,0.5,53.916666666666664,0,14,0
230.19176667468372,15,1.0,26.0,0,20,0
429.8032020411288,23,0.9833333333333333,7.983333333333333,1,7,0
94.49403743883643,3,0.5,3.0,0,40,1
238.4719954671861,10,0.5,47.416666666666664,0,14,0
130.44801336380436,17,0.5,7.0,0,17,0
182.3635021043062,11,0.5,22.5,1,30,0
264.1145031311523,2,0.5,7.5,0,7,0
100.95696332817134,22,1.0,4.0,0,18,0
265.3998442836438,10,2.933611111111111,9.816944444444445,1,27,0
184.08009613113876,22,1.0,4.666666666666667,0,44,1
0.0,23,0.5,17.0,0,2,0
112.30199308530564,10,0.4666666666666667,28.0,0,0,0
324.0204016365946,8,2.0,18.666666666666668,0,21,0
30.02169512844316,5,0.5,2.25,0,40,1
265.9389177632115,16,0.5,8.416666666666666,0,18,0
181.49137940894244,13,1.0,5.0,0,44,1
127.78199736543364,17,0.5,7.0,0,2,0
157.26966363697647,8,1.0,4.75,0,44,1
198.28262164838597,16,0.5,6.966666666666667,1,48,0
222.29260249027664,15,0.5,24.416666666666668,0,36,0
124.86887292865572,6,0.5,15.416666666666666,0,36,0
363.24389873109584,8,0.5,18.0,1,37,0
